Udsagn,DISC,reverse,test
Jeg undgår at improvisere og vil hellere planlægge først,C,FALSE,FALSE
Jeg dokumenterer mit arbejde grundigt,C,FALSE,FALSE
"Jeg sikrer, at standarder bliver fulgt",C,FALSE,FALSE
"Jeg holder fast i planen, og undgår spontanitet der bryder planen",C,FALSE,FALSE
"Jeg retter gerne fejl, også de mindre væsentlige",C,FALSE,FALSE
"Jeg undgår genveje, hvis de medfører fejl",C,FALSE,FALSE
Jeg træffer ofte beslutninger spontant.,C,TRUE,FALSE
"Jeg har ikke brug for tjeklister, da det er spild af tid.",C,TRUE,FALSE
"Jeg arbejder systematisk, også med enkle opgaver.",C,FALSE,FALSE
"Jeg sikrer, at arbejdet er korrekt, selv hvis det tager længere tid.",C,FALSE,FALSE
Jeg opbevarer dokumentation til senere brug.,C,FALSE,FALSE
Jeg følger faste procedurer i mit arbejde.,C,FALSE,FALSE
"Jeg undgår ændringer, der ikke er testet",C,FALSE,FALSE
"Jeg gennemgår mit arbejde, inden jeg afleverer det.",C,FALSE,FALSE
Jeg prioriterer præcision frem for hurtighed.,C,FALSE,FALSE
Jeg har større fokus på kvalitet og præcision end på at komme hurtigt fremad,C,FALSE,FALSE
Jeg har stor orden i mine opgaver.,C,FALSE,FALSE
"Jeg arbejder bedst, når jeg har klare retningslinjer.",C,FALSE,FALSE
"Jeg undersøger fakta, før jeg giver svar.",C,FALSE,FALSE
Jeg laver aldrig fejl i mit arbejde.,C,FALSE,TRUE
