Udsagn,DISC,reverse,test
"Jeg fungerer bedst, når jeg kan tale frit, selv når andre ikke får plads.",I,FALSE,FALSE
"Jeg ændrer kurs hurtigt, hvis situationen kræver det.",S,TRUE,FALSE
"Jeg foretrækker stabilitet, også når det bremser udviklingen.",S,FALSE,FALSE
"Jeg bevarer roen, men kan virke passiv i pressede situationer.",S,FALSE,FALSE
"Jeg prioriterer harmoni, selv når det hæmmer resultaterne.",S,FALSE,FALSE
"Jeg hjælper andre, selv når det skader mine egne opgaver.",S,FALSE,FALSE
"Jeg accepterer ændringer langsomt, selv når det sinker arbejdet.",S,FALSE,FALSE
"Jeg undgår at prøve nyt, selv når det kunne være en fordel.",S,FALSE,FALSE
"Jeg ændrer kurs hurtigt, hvis situationen kræver det.",S,TRUE,FALSE
"Jeg tilpasser mig, selv når jeg føler mig uretfærdigt behandlet.",S,FALSE,FALSE
"Jeg søger tryghed, selv når det begrænser mine muligheder.",S,FALSE,FALSE
"Jeg undgår konflikter, også når de kunne løse problemer.",S,FALSE,FALSE
"Jeg foretrækker roligt tempo, selv når det betyder forsinkelser.",S,FALSE,FALSE
"Jeg bliver i opgaver, selv når det er ineffektivt.",S,FALSE,FALSE
"Jeg bruger tid på at reflektere, selv når der haster en løsning.",S,FALSE,FALSE
"Jeg kan godt lide, når tingene ændrer sig hurtigt, så der sker noget nyt.",S,TRUE,FALSE
"Jeg ændrer kurs hurtigt, hvis situationen kræver det.",S,TRUE,FALSE
"Jeg ændrer kurs hurtigt, hvis situationen kræver det.",S,TRUE,FALSE
"Jeg holder fast i vaner, selv når de står i vejen.",S,FALSE,FALSE
"Jeg skifter gerne vaner, også når de fungerer fint.",S,TRUE,FALSE
"Jeg er tålmodig, også når der burde handles hurtigt.",S,FALSE,FALSE
"Jeg undgår at presse andre, selv når det er nødvendigt.",S,FALSE,FALSE
"Jeg ønsker ro, selv når tempo er påkrævet.",S,FALSE,FALSE
"Jeg vælger stabilitet, selv når spænding ville være gavnligt.",S,FALSE,FALSE
"Jeg har få relationer, også når jeg kunne have brug for flere.",S,FALSE,FALSE
"Jeg følger processer, selv når det spilder tid.",C,FALSE,FALSE
"Jeg dobbelttjekker, selv når det gør arbejdet langsomt.",C,FALSE,FALSE
"Jeg går nogle gange videre uden at dobbelttjekke, for at spare tid.",C,TRUE,FALSE
"Jeg fokuserer på detaljer, selv når jeg mister overblikket.",C,FALSE,FALSE
"Jeg afslutter opgaver, selv når andre haster mere.",C,FALSE,FALSE
"Jeg planlægger, også når det hæmmer spontanitet.",C,FALSE,FALSE
"Jeg beslutter mig hurtigt, selv uden alle fakta på plads.",C,TRUE,FALSE
"Jeg håndhæver standarder, selv når de ikke er praktiske.",C,FALSE,FALSE
"Jeg holder fast i planen, selv når en bedre løsning findes.",C,FALSE,FALSE
"Jeg prioriterer fremdrift over grundighed, når tiden er knap.",C,TRUE,FALSE
"Jeg undgår genveje, selv når de kunne være effektive.",C,FALSE,FALSE
"Jeg analyserer længe, også når der mangler handling.",C,FALSE,FALSE
"Jeg bruger tjeklister, selv når opgaven er simpel.",C,FALSE,FALSE
"Jeg arbejder systematisk, selv når fleksibilitet var bedre.",C,FALSE,FALSE
"Jeg sikrer korrekthed, selv når det forsinker leverancen.",C,FALSE,FALSE
"Jeg gemmer dokumentation, selv når den aldrig bruges.",C,FALSE,FALSE
"Jeg beslutter mig hurtigt, selv uden alle fakta på plads.",C,TRUE,FALSE
"Jeg prioriterer fremdrift over grundighed, når tiden er knap.",C,TRUE,FALSE
"Jeg gennemgår alt, også når tiden ikke rækker.",C,FALSE,FALSE
"Jeg prioriterer præcision, selv når hastighed er vigtig.",C,FALSE,FALSE
"Jeg går nogle gange videre uden at dobbelttjekke, for at spare tid.",C,TRUE,FALSE
"Jeg holder orden, selv når det ikke er nødvendigt.",C,FALSE,FALSE
"Jeg fungerer bedst med regler, også når det begrænser mig.",C,FALSE,FALSE
"Jeg undersøger fakta længe, også når hurtige svar kræves.",C,FALSE,FALSE
